word,alternatives,meanings,created_at,last_seen_at,parts_of_speech
to pay (narrow use focused on paying a monetary expense),,支払う,2026-08-12,2026-08-12,verb
to go across,,渡る,2026-08-12,2026-08-12,verb
to make a mistake,,間違える,2026-08-12,2026-08-12,verb
to praise (someone),,褒める,2026-08-12,2026-08-12,verb
to surround,,囲む,2026-08-12,2026-08-12,verb
to fight,,喧嘩する,2026-08-12,2026-08-12,verb
to make up,to resolve the issue,仲直りする,2026-08-12,2026-08-12,verb
to be patient,,我慢する,2026-08-12,2026-08-12,verb
to be troubled,to be worried,悩む,2026-08-12,2026-08-12,verb
to worry,,心配する,2026-08-12,2026-08-12,verb
to come back to life,,生き返る,2026-08-12,2026-08-12,verb
to hide (something),,隠す,2026-08-12,2026-08-12,verb
to be hidden,,隠れる,2026-08-12,2026-08-12,verb
to grow up,,育つ,2026-08-12,2026-08-12,verb
to play (strings/keys instruments),,弾く,2026-08-12,2026-08-12,verb
to play (wind/brass instruments),,吹く,2026-08-12,2026-08-12,verb
to play (percussion),to hit (from light taps to slapping; makes noise),叩く,2026-08-12,2026-08-12,verb
to play an instrument (in general),,演奏する,2026-08-12,2026-08-12,verb
to clean up,,掃除する,2026-08-12,2026-08-12,verb
to do laundry,,洗濯する,2026-08-12,2026-08-12,verb
to be late,,遅刻する,2026-08-12,2026-08-12,verb
to fold,,畳む,2026-08-12,2026-08-12,verb
to put away,,しまう,2026-08-12,2026-08-12,verb
to be humble,,謙遜している,2026-08-12,2026-08-12,verb
to be embarrassed,,照れる,2026-08-12,2026-08-12,verb
to seek,to demand,求める,2026-08-12,2026-08-12,verb
to come around,,回ってくる,2026-08-12,2026-08-12,verb
to boil (e.g. water),,沸かす,2026-08-12,2026-08-12,verb
to seek,,望む,2026-08-12,2026-08-12,verb
to defend,,守る,2026-08-12,2026-08-12,verb
to wash,,洗う,2026-08-12,2026-08-12,verb
to get dry,to become parched,乾く,2026-08-12,2026-08-12,verb
to dance,,踊る,2026-08-12,2026-08-12,verb
to be surprised,,驚く,2026-08-12,2026-08-12,verb
to be surprised,,びっくりする,2026-08-12,2026-08-12,verb
to get angry,,怒る,2026-08-12,2026-08-12,verb
to get older,,歳を取る,2026-08-12,2026-08-12,verb
to spend (time),to pass; to lead (a life); to live,過ごす,2026-08-12,2026-08-12,verb
to aim for,,目指す,2026-08-12,2026-08-12,verb
to hang up,to pour; to multiple; to raise (a flag); … (it’s almost like する with so many uses),掛ける,2026-08-12,2026-08-12,verb
to proceed,,進める,2026-08-12,2026-08-12,verb
to continue,,進む,2026-08-12,2026-08-12,verb
to continue,,続ける,2026-08-12,2026-08-12,verb
to pee,,おしっこする,2026-08-12,2026-08-12,verb
to withdraw (money),,下ろす,2026-08-12,2026-08-12,verb
to be in time,,間に合う,2026-08-12,2026-08-12,verb
to invite (into your home; to a place),,招く,2026-08-12,2026-08-12,verb
to invite to do something together,,誘う,2026-08-12,2026-08-12,verb
to hold hands,,手を繋ぐ,2026-08-12,2026-08-12,verb
to take off (clothes; shoes),,脱ぐ,2026-08-12,2026-08-12,verb
to arrange,to gather (a collection),揃える,2026-08-12,2026-08-12,verb
to carry out,to conduct; to do,行う,2026-08-12,2026-08-12,verb
to lose,,失う,2026-08-12,2026-08-12,verb
to go,,行く,2026-08-12,2026-08-12,verb
to count,to enumerate,数える,2026-08-12,2026-08-12,verb
to refuse,to turn down,断る,2026-08-12,2026-08-12,verb
to put away (clean up),,片付ける,2026-08-12,2026-08-12,verb
to let down,,垂らす,2026-08-12,2026-08-12,verb
to forgive,,許す,2026-08-12,2026-08-12,verb
to wait in hope,,待ち望む,2026-08-12,2026-08-12,verb
to guess,to perceive the meaning,察する,2026-08-12,2026-08-12,verb
to adjust,,調整する,2026-08-12,2026-08-12,verb
to solve,,解く,2026-08-12,2026-08-12,verb
to heckle,to hoot,野次る,2026-08-12,2026-08-12,verb
to strive,to make an effort,努める,2026-08-12,2026-08-12,verb
to be infatuated with oneself,,自分に酔っている,2026-08-12,2026-08-12,verb
to participate in,,携わる,2026-08-12,2026-08-12,verb
to become popular,,流行る,2026-08-12,2026-08-12,verb
to go viral,,バズる,2026-08-12,2026-08-12,verb
to work (for),to be employed (at),勤める,2026-08-12,2026-08-12,verb
to work (for),to be employed (at),務める,2026-08-12,2026-08-12,verb
to give up,,諦める,2026-08-12,2026-08-12,verb
to produce fruit/crop,,実がなる,2026-08-12,2026-08-12,verb
to fit,to be on point; to be correct,合う,2026-08-12,2026-08-12,verb
to summarize,,まとめる,2026-08-12,2026-08-12,verb
to lose,,負ける,2026-08-12,2026-08-12,verb
to ignite,,熾す,2026-08-12,2026-08-12,verb
to transmit,to convey,伝う,2026-08-12,2026-08-12,verb
to speak,,喋る,2026-08-12,2026-08-12,verb
